EndUpSit
Frame 0
266.296		253.538		1502		2		1
265.265		188.69		1516		2		1
264.409		123.089		1551		2		1
263.439		86.192		1448		2		1
231.903		147.008		1581		2		1
226.126		202.566		1635		2		1
217.906		250.129		1592		2		1
219.802		256.95		1578		2		1
294.836		147.167		1557		2		1
307.516		204.374		1617		2		1
327.333		249.808		1577		2		1
326.814		255.826		1569		2		1
251.785		254.004		1570		2		1
258.444		328.529		1730		2		1
255.485		389.881		1754		2		1
238.856		407.337		1796		2		1
280.87		253.063		1567		2		1
277.681		329.78		1692		2		1
274.581		390.659		1758		2		1
299.208		405.351		1813		2		1
264.6		139.618		1555		2		1
220.164		272.085		1580		2		1
212.672		256.774		1634		2		1
327.223		273.433		1575		2		1
333.254		243.319		1567		2		1
Frame 1
266.289		253.505		1509		2		1
265.279		188.665		1515		2		1
264.422		123.083		1553		2		1
263.413		86.1605		1452		2		1
231.878		147.019		1580		2		1
226.17		202.765		1634		2		1
218.427		250.444		1595		2		1
221.378		257.329		1578		2		1
294.989		147.074		1557		2		1
307.662		204.349		1618		2		1
327.497		249.785		1573		2		1
327.047		255.607		1569		2		1
251.778		253.959		1569		2		1
258.728		327.745		1724		2		1
255.67		389.492		1750		2		1
238.258		407.136		1789		2		1
280.861		253.047		1564		2		1
277.714		329.799		1691		2		1
274.539		391.036		1761		2		1
299.263		405.357		1802		2		1
264.615		139.606		1552		2		1
221.733		272.958		1581		2		1
216.127		262.968		1581		2		1
327.636		273.258		1578		2		1
334.283		253.138		3580		2		1
Frame 2
266.267		253.568		1500		2		1
265.291		188.671		1514		2		1
264.442		123.073		1551		2		1
263.378		86.127		1450		2		1
231.945		147.022		1577		2		1
226.325		203.087		1633		2		1
218.849		250.86		1599		2		1
222.832		257.236		1576		2		1
294.108		147.539		1558		2		1
307.788		204.328		1616		2		1
327.579		249.79		1576		2		1
327.238		255.491		1570		2		1
251.757		253.993		1568		2		1
258.738		327.889		1727		2		1
255.587		389.764		1754		2		1
238.037		407.142		1786		2		1
280.84		253.148		1562		2		1
277.793		329.756		1690		2		1
274.512		390.953		1767		2		1
299.343		405.155		1806		2		1
264.635		139.597		1553		2		1
222.662		273.336		1583		2		1
215.515		260.27		1605		2		1
327.633		273.258		1577		2		1
329.559		265.781		1586		2		1
